Age,Gender,City,Make,Model,SumInsured,Label
45 Years,Male,Rawalpindi,S.Alto,2016,1057515,Accidental Claim
38 Years,Male,Rawalpindi,H.City,2016,1225000,No Claim
49 Years,Male,Rawalpindi,H.Civic,2013,2000000,Fraud Claim
40 Years,Male,Rawalpindi,S.Swift,2017,1225000,Fraud Claim
70 Years,Male,Rawalpindi,H.City,2015,1700000,Accidental Claim
30 Years,Female ,Islamabad,S.Wagon-R,2018,1029600,No Claim
65 Years,Female ,Islamabad,T.Altis,2014,1500000,Fraud Claim
49 Years,Male,Taxila,S.Cultus,2018,1251909,Fraud Claim
73 Years,Male,Rawalpindi,T.GLI,2015,1772000,Accidental Claim
55 Years,Male,,T.GLI,2018,2200000,No Claim
35 Years,Female ,Rawalpindi,H.City,2019,2267500,Fraud Claim
36 Years ,Female ,Islamabad,S.Wagon-R,2017,935370,Fraud Claim
49 Years,Female ,Islamabad,S.Wagon-R,2018,1047600,Accidental Claim
35 Years,Male,Islamabad,H.City,2018,1500000,No Claim
49 Years,Male,Islamabad,H.City,2018,1600000,Fraud Claim
34 Years,Male,Islamabad,S.Hustler,2019,725300,Fraud Claim
55 Years,Male,Jhelum,T.Aqua,2019,3265000,Accidental Claim
43 Years,Male,Mardan,T.GLI,2018,2064606,No Claim
35 Years,Male,Rawalpindi,S.Hustler,2014,1012500,Fraud Claim
22 Years,Male,Islamabad,H.Civic,2017,1835000,Fraud Claim
39 Years,Male,Islamabad,S.Hustler,2019,750000,Accidental Claim
27 Years,Male,Rawalpindi,S.Mehran,2016,725000,No Claim
55 Years,Male,Rawalpindi,S.Alto,2020,1395000,Fraud Claim
45 Years,Male,Islamabad,S.Wagon-R,2017,886140,Fraud Claim
36 Years ,Male,Peshawar,T.Aqua,2017,2600000,Accidental Claim
24 Years,Female ,Islamabad,S.Wagon-R,2018,1110600,No Claim
48 Years,Female ,Islamabad,T.Altis,2018,2541150,Fraud Claim
30 Years,Male,Islamabad,H.Civic,2017,2500000,Fraud Claim
46 Years,Male,Peshawar,T.Aqua,2016,2000000,Accidental Claim
63 Years,Male,Peshawar,H.Civic,2018,2427244,No Claim
39 Yerars,Male,Mardan,S.Alto,2019,1433000,Fraud Claim
46 Years,Female ,Rawalpindi,H.Civic,2019,3179500,Fraud Claim
39 Yerars,Male,Jhelum,H.Civic,2019,3765000,Accidental Claim
49 Years,Male,Islamabad,H.Civic,2019,3550000,No Claim
40 Years,Female ,Islamabad,T.Aqua,2019,2607500,Fraud Claim
29 Years,Female ,Rawalpindi,S.Swift,2017,1074836,Fraud Claim
40 Years,Male,Rawalpindi,S.Mehran,2017,550000,Accidental Claim
25 Years,Male,Rawalpindi,H.Civic,2019,3907000,No Claim
39 Years,Male,Rawalpindi,S.Wagon-R,2014,988200,Fraud Claim
25 Years,Female ,Islamabad,H.Civic,2016,2600000,Fraud Claim
